Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,2754,50,A,1.64,0.08,A,2515,352,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,T,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,3667.721563,768.4338942,0.100479512,0.023657189,0.899520488,0.023657189
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,3080,50,A,1.09,0.09,A,2816,394,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,3823.912263,833.7700376,0.042910964,0.011922068,0.957089036,0.011922068
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,3080,50,A,3.54,0.3,A,2416,338,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,T,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,4531.723646,717.8296883,0.324933601,0.062907812,0.675066399,0.062907812
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,4185,50,A,1.36,0.07,A,3673,615,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,4795.852455,1036.517192,0.054802475,0.013878165,0.945197525,0.013878165
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,4185,50,A,1.47,0.1,A,3965,663,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,5120.627538,1100.090708,0.060223618,0.015255584,0.939776382,0.015255584
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,4185,50,A,3.31,0.21,A,4061,686,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,6080.530666,1036.481132,0.226682453,0.045458839,0.773317547,0.045458839
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Trachybasalt,Etna,Natural,FTIR,FTIR,IHPV,,1200,10,A,4185,50,A,2.16,0.18,A,4230,711,A,47.95,0.82,A,17.32,0.27,A,3.45,0.16,A,5.76,0.28,A,10.93,0.37,A,1.67,0.11,A,10.24,1.25,A,0,0,A,1.99,0.1,A,0.51,0.12,A,,,,,,,,,,,,,,F,99.82,48.03646564,5.449809657,diamond,#56b4e9,Y,N,Y,N,N,Dixon,5632.588281,1133.637547,0.115718649,0.030353274,0.884281351,0.030353274
Iacono-Marziano et al. (2012),10.1016/j.gca.2012.08.035,Tephrite,"Torre Alfina, Italy",Synthetic,FTIR,FTIR,IHPV,2TA3,1200,10,A,3510,50,A,2.49,0.1,A,9766.666667,929.1573243,A,47.36,0.66,A,11.55,0.29,A,0.83,0.09,A,10.9,0.35,A,15.92,0.62,A,1.22,0.13,A,5.04,0.14,A,,,ND,6.58,0.26,A,0.6,0.08,A,,,,,,,,,,,,,,F,100,47.36,7.41,triangle-up,#ece133,N,N,Y,N,N,Dixon,9040.012836,1100.097945,0.09552985,0.014841666,0.90447015,0.014841666
Iacono-Marziano et al. (2008),10.1007/s00410-007-0267-8,Basalt,Stromboli,Natural,FTIR,FTIR,IHPV,#4-4,1100,10,A,2140,50,A,2.3,0.1,R,4300,141.4213562,A,46.84,0.01,R,14.48,0.01,R,2.32,0.01,R,6.86,0.01,R,19.45,0.01,R,0.71,0.01,R,6.95,0.01,R,,,ND,1.77,0.01,R,0.62,0.01,R,,,,,,,,,,,,,,F,100,46.84,4.09,star-triangle-down,#0173b2,N,N,Y,N,N,Dixon,4485.93578,344.72647,0.171708888,0.031386022,0.828291112,0.031386022
Iacono-Marziano et al. (2008),10.1007/s00410-007-0267-8,Basalt,Stromboli,Natural,FTIR,FTIR,IHPV,#5- 4,1150,10,A,2130,50,A,2.5,0.1,R,2800,141.4213562,A,47.76,0.01,R,15.13,0.01,R,2.47,0.01,R,6.66,0.01,R,17.26,0.01,R,0.86,0.01,R,7.23,0.01,R,,,ND,1.98,0.01,R,0.66,0.01,R,,,,,,,,,,,,,,F,100.01,47.75522448,4.449555044,star-triangle-down,#0173b2,N,N,Y,N,N,Dixon,4086.318638,421.6183265,0.203083082,0.038620326,0.796916918,0.038620326
Iacono-Marziano et al. (2008),10.1007/s00410-007-0267-8,Basalt,Stromboli,Natural,FTIR,FTIR,IHPV,#5-5,1150,10,A,2130,50,A,1.6,0.1,R,6000,282.8427125,A,45.04,0.01,R,14.31,0.01,R,2.37,0.01,R,6.64,0.01,R,21.85,0.01,R,0.79,0.01,R,6.5,0.01,R,,,ND,1.88,0.01,R,0.62,0.01,R,,,,,,,,,,,,,,F,100,45.04,4.25,star-triangle-down,#0173b2,N,N,Y,N,N,Dixon,4238.605574,278.44172,0.094639028,0.01818304,0.905360972,0.01818304
"Hughes et al. (2018) Am. Min., Shea et al. (2025) GGR","10.2138/am-2018-6546CCBY, 10.1111/ggr.12609",Trachybasalt,"Etna, Italy",Synthetic,TCEA,SIMS,IHPV,ETNA14,1250,5,A,1000,50,A,3.19,0.06,A,63,16,A,48.86,0.11,A,17,0.08,A,3.88,0.06,A,5.79,0.06,A,6.76,0.04,A,1.64,0.03,A,9.79,0.09,A,0.27,0.02,A,1.8,0.02,A,0.51,0.03,A,0.300274532,0.06735246,A,,,,NR,0.863636364,0.071751055,A,0.136363636,,NR,F,96.3,50.73727934,5.898234683,triangle-up,#56b4e9,N,N,N,N,N,Dixon,1110.548692,48.85910416,0.888878803,0.026203059,0.111121197,0.026203059
"Hughes et al. (2018) Am. Min., Shea et al. (2025) GGR","10.2138/am-2018-6546CCBY, 10.1111/ggr.12609",Trachybasalt,"Etna, Italy",Synthetic,TCEA,SIMS,IHPV,ETNA24,1250,5,A,5000,50,A,2.86,0.06,A,1764,100,A,48.65,0.11,A,16.92,0.07,A,3.94,0.07,A,5.99,0.05,A,6.73,0.04,A,1.71,0.03,A,10.09,0.07,A,0.21,0.02,A,1.78,0.02,A,0.46,0.03,A,0.239630877,0.065472829,A,,,,NR,1,0.066617339,A,0,,NR,F,96.48,50.42495854,5.928689884,triangle-up,#56b4e9,N,N,N,N,N,Dixon,3862.826735,181.8351131,0.246491865,0.013278167,0.753508135,0.013278167
Shea et al. (2025),10.1111/ggr.12609,Trachybasalt,"Etna, Italy",Synthetic,TCEA,SHM,IHPV,ETNA34,1250,5,A,5000,50,A,0.67,0.06,A,1525,66,A,48.65,0.11,A,15.94,0.05,A,4.21,0.08,A,6.21,0.03,A,10.35,0.12,A,1.8,0.03,A,9.2,0.16,A,0.16,0.01,A,1.88,0.02,A,0.52,0.01,A,0.166175835,0.072660499,A,,,,NR,1,0.133234678,A,0,,NR,T,98.92,49.18115649,6.156490093,cross,#56b4e9,N,N,N,N,N,Dixon,2688.952401,151.3981506,0.019039388,0.003598261,0.980960612,0.003598261
Shea et al. (2025),10.1111/ggr.12609,Trachybasalt,"Etna, Italy",Synthetic,TCEA,SHM,IHPV,ETNA35,1250,5,A,5000,50,A,1.64,0.06,A,1014,65,A,47.88,0.16,A,15.75,0.03,A,4.14,0.07,A,6.15,0.04,A,10.21,0.13,A,1.76,0.03,A,9.6,0.1,A,0.18,0.01,A,1.86,0.01,A,0.51,0.01,A,0.54906404,0.068500088,A,,,,NR,0.166666667,0.171233722,A,0.833333333,,NR,T,98.04,48.8372093,6.11995104,cross,#56b4e9,N,N,N,N,N,Dixon,1720.861419,109.1211035,0.184675665,0.015846751,0.815324335,0.015846751
Shea et al. (2025),10.1111/ggr.12609,Trachybasalt,"Etna, Italy",Synthetic,TCEA,SHM,IHPV,ETNA36,1250,5,A,3000,50,A,2.3,0.06,A,2026,34,A,48.9,0.09,A,16.04,0.08,A,4.16,0.08,A,6.23,0.05,A,10.36,0.09,A,1.8,0.03,A,9.9,0.11,A,0.17,0.01,A,1.89,0.02,A,0.53,0.02,A,0.198301035,0.068666948,A,,,,NR,0.6,0.087432514,A,0.4,,NR,F,99.98,48.90978196,6.051210242,cross,#56b4e9,N,N,N,N,N,Dixon,4299.087838,137.7896292,0.14980895,0.008070981,0.85019105,0.008070981
